requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,cot,238,212,0.8907563025210085,0.8447463645474417,0.924352086670215,3.131732457935685,48.06737232208252,,17.386525509345464
gemma_4_e2b,gemma_4_e2b,arc_challenge,cot,238,183,0.7689075630252101,0.7113369470216023,0.8179351054292582,0.44971063460747734,9.543148517608644,,31.489660896104066
gemma_4_e4b,gemma_4_e4b,arc_challenge,cot,238,212,0.8907563025210085,0.8447463645474417,0.924352086670215,0.496029409102532,14.89453125,,25.14800234448395
phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,cot,238,64,0.2689075630252101,0.21657517039111923,0.32858165953392254,4.1186676108035725,7.145148277282715,,62.16149275264714
phi_4_reasoning,phi_4_reasoning,arc_challenge,cot,238,70,0.29411764705882354,0.2398678445587814,0.3549082402835285,4.830166991064403,27.305460929870605,,52.96752115929976
qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,cot,238,94,0.3949579831932773,0.3349928874955609,0.45826021701582165,10.3071393803889,57.62053298950195,,24.21326818903646
qwen3_8b,qwen3_8b,arc_challenge,cot,238,81,0.3403361344537815,0.28310043188497847,0.40264428697232313,5.19295537451423,15.256451606750488,,48.76930261250563
gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,few_shot_cot,238,223,0.9369747899159664,0.898629319936815,0.9614377652958329,2.7651851672616576,48.06737232208252,,17.876004310663284
gemma_4_e2b,gemma_4_e2b,arc_challenge,few_shot_cot,238,173,0.726890756302521,0.6670154740901835,0.7795578201652298,4.484728385138662,9.543148517608644,,31.74358459926082
gemma_4_e4b,gemma_4_e4b,arc_challenge,few_shot_cot,238,212,0.8907563025210085,0.8447463645474417,0.924352086670215,0.8305181706746837,14.89453125,,25.53700860772828
phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,few_shot_cot,238,69,0.28991596638655465,0.23597089591726106,0.35053531310550423,4.087910170267735,7.145148277282715,,62.62786060161341
phi_4_reasoning,phi_4_reasoning,arc_challenge,few_shot_cot,238,66,0.2773109243697479,0.22431534045081344,0.3373812411133177,4.854267436854479,27.305460929870605,,52.739508419558796
