requested_model_name,dataset_name,strategy,accuracy,ci_low,ci_high,n
phi_4_mini_reasoning,math_l1_l3,cot,0.22268907563025211,0.17447245053236327,0.2797157453776869,238
phi_4_reasoning,math_l1_l3,cot,0.012605042016806723,0.004295864517803973,0.036398540415011546,238
qwen3_30b_a3b,math_l1_l3,cot,0.5756302521008403,0.5121249678712904,0.636732796880514,238
qwen3_8b,math_l1_l3,cot,0.2773109243697479,0.22431534045081344,0.3373812411133177,238
gemma_4_26b_a4b,math_l1_l3,few_shot_cot,0.5714285714285714,0.5079125613149227,0.6326753276173371,238
gemma_4_e2b,math_l1_l3,few_shot_cot,0.6890756302521008,0.6276569632254247,0.7444874486540864,238
gemma_4_e4b,math_l1_l3,few_shot_cot,0.6932773109243697,0.6320072584707848,0.7484070292282712,238
phi_4_mini_reasoning,math_l1_l3,few_shot_cot,0.3907563025210084,0.3309722369462509,0.454010991745587,238
phi_4_reasoning,math_l1_l3,few_shot_cot,0.029411764705882353,0.014318466405798428,0.059455441805195866,238
qwen3_30b_a3b,math_l1_l3,few_shot_cot,0.6134453781512605,0.5502429407868402,0.6730437063408666,238
qwen3_8b,math_l1_l3,few_shot_cot,0.6386554621848739,0.5758670184904403,0.6970388835545344,238
gemma_4_26b_a4b,math_l1_l3,zero_shot,0.6932773109243697,0.6320072584707848,0.7484070292282712,238
gemma_4_e2b,math_l1_l3,zero_shot,0.6176470588235294,0.5545016080048943,0.677054914942357,238
gemma_4_e4b,math_l1_l3,zero_shot,0.6302521008403361,0.5673063119868309,0.6890598384190545,238
phi_4_mini_reasoning,math_l1_l3,zero_shot,0.25210084033613445,0.20117047756001621,0.3109068490868468,238
phi_4_reasoning,math_l1_l3,zero_shot,0.037815126050420166,0.0200197954050187,0.07029386444506497,238
qwen3_30b_a3b,math_l1_l3,zero_shot,0.5840336134453782,0.520563393892939,0.6448341224979548,238
qwen3_8b,math_l1_l3,zero_shot,0.2184873949579832,0.17068743907982165,0.2752308810106838,238
gemma_4_26b_a4b,truthfulqa_mc1,cot,0.726890756302521,0.6670154740901835,0.7795578201652298,238
gemma_4_e2b,truthfulqa_mc1,cot,0.5630252100840336,0.49950127677590717,0.6245468605172632,238
gemma_4_e4b,truthfulqa_mc1,cot,0.6428571428571429,0.5801547461230793,0.7010210317414404,238
phi_4_mini_reasoning,truthfulqa_mc1,cot,0.9831932773109243,0.9575903339090249,0.9934453853386146,238
phi_4_reasoning,truthfulqa_mc1,cot,0.9957983193277311,0.9765874128692085,0.9992579338370651,238
qwen3_30b_a3b,truthfulqa_mc1,cot,0.9873949579831933,0.9636014595849884,0.995704135482196,238
qwen3_8b,truthfulqa_mc1,cot,0.9873949579831933,0.9636014595849884,0.995704135482196,238
gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,0.7857142857142857,0.7292616574969053,0.8330898982321338,238
gemma_4_e2b,truthfulqa_mc1,few_shot_cot,0.5168067226890757,0.45355738320407607,0.5795221200741028,238
gemma_4_e4b,truthfulqa_mc1,few_shot_cot,0.7394957983193278,0.6802428854518626,0.7911400362621849,238
phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,0.9663865546218487,0.9350850222079834,0.9828711937614776,238
phi_4_reasoning,truthfulqa_mc1,few_shot_cot,1.0,0.9841152225258184,0.9999999999999999,238
qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,0.9663865546218487,0.9350850222079834,0.9828711937614776,238
qwen3_8b,truthfulqa_mc1,few_shot_cot,0.9789915966386554,0.9517718291332842,0.9909940142948108,238
gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,0.7941176470588235,0.7382704038832029,0.8406209034849255,238
gemma_4_e2b,truthfulqa_mc1,zero_shot,0.5504201680672269,0.486917949868721,0.6123205599658154,238
gemma_4_e4b,truthfulqa_mc1,zero_shot,0.7352941176470589,0.6758274467331971,0.7872855991613059,238
phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,0.9453781512605042,0.9088023203717762,0.9678045164999612,238
phi_4_reasoning,truthfulqa_mc1,zero_shot,0.9957983193277311,0.9765874128692085,0.9992579338370651,238
qwen3_30b_a3b,truthfulqa_mc1,zero_shot,0.9831932773109243,0.9575903339090249,0.9934453853386146,238
qwen3_8b,truthfulqa_mc1,zero_shot,0.9621848739495799,0.929706135554935,0.9799802045949813,238
