tag,model,strategy,weighted_acc,mean_latency_sec,max_peak_vram_gb,rank
workshop_unified238_v1,gemma_4_26b_a4b,zero_shot,0.7941176470588234,7.283172880796356,48.06737232208252,1
workshop_unified238_v1,gemma_4_e4b,few_shot_cot,0.7609243697478991,3.6771661859757008,14.89453125,2
workshop_unified238_v1,gemma_4_e4b,cot,0.7588235294117647,4.720122667643859,14.89453125,3
workshop_unified238_v1,gemma_4_e4b,zero_shot,0.7584033613445378,4.373434536080777,14.89453125,4
workshop_unified238_v1,gemma_4_26b_a4b,cot,0.7563025210084033,8.71471136368952,48.06737232208252,5
workshop_unified238_v1,qwen3_8b,few_shot_cot,0.7222689075630252,7.024567841560024,15.256451606750488,6
workshop_unified238_v1,gemma_4_26b_a4b,few_shot_cot,0.7096638655462184,10.58017067377213,48.06737232208252,7
workshop_unified238_v1,qwen3_30b_a3b,few_shot_cot,0.7008403361344538,14.700587844753935,57.62053298950195,8
workshop_unified238_v1,gemma_4_e2b,few_shot_cot,0.6878151260504202,5.997216199853403,9.543148517608644,9
workshop_unified238_v1,gemma_4_e2b,zero_shot,0.6714285714285715,5.097807509965506,9.543148517608644,10
workshop_unified238_v1,qwen3_30b_a3b,zero_shot,0.669327731092437,15.3011271353271,57.62053298950195,11
workshop_unified238_v1,gemma_4_e2b,cot,0.657983193277311,4.425420260839477,9.543148517608644,12
workshop_unified238_v1,qwen3_30b_a3b,cot,0.6529411764705882,15.209847461768748,57.62053298950195,13
workshop_unified238_v1,qwen3_8b,zero_shot,0.5668067226890756,7.354146655926779,15.256451606750488,14
workshop_unified238_v1,qwen3_8b,cot,0.5659663865546218,7.681694577479374,15.256451606750488,15
workshop_unified238_v1,phi_4_mini_reasoning,few_shot_cot,0.3978991596638656,8.231677511292158,7.145148277282715,16
workshop_unified238_v1,phi_4_mini_reasoning,cot,0.3029411764705882,8.255438020609382,7.145148277282715,17
workshop_unified238_v1,phi_4_mini_reasoning,zero_shot,0.29705882352941176,8.208939040095366,7.145148277282715,18
workshop_unified238_v1,phi_4_reasoning,zero_shot,0.18823529411764706,9.563025641521174,27.305460929870605,19
workshop_unified238_v1,phi_4_reasoning,few_shot_cot,0.1726890756302521,9.56622324363493,27.305460929870605,20
workshop_unified238_v1,phi_4_reasoning,cot,0.16554621848739498,9.639480031248057,27.305460929870605,21
