tag,model,strategy,weighted_acc,mean_latency_sec,max_peak_vram_gb,rank
journal_full500_v1,gemma_4_26b_a4b,zero_shot,0.7835831932773111,7.069562149094262,48.06737232208252,1
journal_full500_v1,gemma_4_e4b,few_shot_cot,0.754183193277311,3.7584454115647663,14.89453125,2
journal_full500_v1,gemma_4_e4b,cot,0.7524201680672269,4.807887837948496,14.89453125,3
journal_full500_v1,gemma_4_e4b,zero_shot,0.7522756302521009,4.453897157965588,14.89453125,4
journal_full500_v1,gemma_4_26b_a4b,cot,0.7410571428571429,8.365558401797154,48.06737232208252,5
journal_full500_v1,qwen3_8b,few_shot_cot,0.7203781512605043,7.113328113028764,15.256451606750488,6
journal_full500_v1,gemma_4_26b_a4b,few_shot_cot,0.7094285714285714,10.369538385164182,48.06737232208252,7
journal_full500_v1,gemma_4_e2b,few_shot_cot,0.6917226890756302,5.900755726914289,9.543148517608644,8
journal_full500_v1,qwen3_30b_a3b,few_shot_cot,0.6782941176470589,13.86488393321012,57.67229080200195,9
journal_full500_v1,gemma_4_e2b,zero_shot,0.6618941176470589,5.155816363437774,9.543148517608644,10
journal_full500_v1,qwen3_30b_a3b,zero_shot,0.6568521008403362,14.622455461955026,57.67326736450195,11
journal_full500_v1,gemma_4_e2b,cot,0.6457495798319328,4.450146891137334,9.543148517608644,12
journal_full500_v1,qwen3_30b_a3b,cot,0.6389680672268908,14.856377239508177,57.67424392700195,13
journal_full500_v1,qwen3_8b,zero_shot,0.546764705882353,7.406407979509285,15.256451606750488,14
journal_full500_v1,qwen3_8b,cot,0.5461697478991597,7.790597819259688,15.256451606750488,15
journal_full500_v1,phi_4_mini_reasoning,few_shot_cot,0.3942268907563026,8.163680110946924,7.145148277282715,16
journal_full500_v1,phi_4_mini_reasoning,cot,0.28680672268907564,8.145569373696933,7.145148277282715,17
journal_full500_v1,phi_4_mini_reasoning,zero_shot,0.2806302521008403,8.052558515694056,7.145148277282715,18
journal_full500_v1,phi_4_reasoning,zero_shot,0.17854453781512608,9.625770248251754,27.305460929870605,19
journal_full500_v1,phi_4_reasoning,few_shot_cot,0.1652235294117647,9.687963666171008,27.305460929870605,20
journal_full500_v1,phi_4_reasoning,cot,0.16478151260504204,9.650211654463547,27.305460929870605,21
