source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
journal_full500_v1__phi_4_mini_reasoning__gsm8k__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,cot,500,90,0.18,0.14880490791275897,0.21607466998263447,8.194511065095663,7.145148277282715,512.0,62.48180742552745
journal_full500_v1__phi_4_reasoning__gsm8k__cot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,cot,500,10,0.02,0.01089918359621081,0.036420183246879345,9.652178296804427,27.305460929870605,511.828,53.028233797461155
journal_full500_v1__qwen3_30b_a3b__gsm8k__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,cot,500,370,0.74,0.6998260397638378,0.7765142768146172,14.187606480389833,57.67326736450195,378.484,26.659461182829094
journal_full500_v1__qwen3_8b__gsm8k__cot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,cot,500,388,0.776,0.7374303353251315,0.8103610287400917,7.094296677827835,15.256451606750488,353.444,49.814642075256124
journal_full500_v1__gemma_4_26b_a4b__gsm8k__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,few_shot_cot,500,342,0.684,0.6419778708300569,0.723216371880092,13.865889235295356,48.06737232208252,315.178,22.59992703810051
journal_full500_v1__gemma_4_e2b__gsm8k__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,few_shot_cot,500,359,0.718,0.6770122207860065,0.7556635667727567,4.684867987647652,9.543148517608644,150.102,32.114416137140026
journal_full500_v1__gemma_4_e4b__gsm8k__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,few_shot_cot,500,369,0.738,0.6977470833575387,0.7746237305827625,5.670981202408671,14.89453125,149.1,26.498212593171278
journal_full500_v1__phi_4_mini_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,few_shot_cot,500,158,0.316,0.27678362811990814,0.3580221291699432,8.093166166506707,7.145148277282715,512.0,63.26466789153363
journal_full500_v1__phi_4_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,few_shot_cot,500,9,0.018,0.009498193296197074,0.033851670908739286,9.722116352587939,27.305460929870605,512.0,52.663990134969154
journal_full500_v1__qwen3_30b_a3b__gsm8k__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,few_shot_cot,500,381,0.762,0.7227638647789387,0.797240980819208,14.032751825928688,57.67033767700195,369.986,26.341471832332754
journal_full500_v1__qwen3_8b__gsm8k__few_shot_cot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,few_shot_cot,500,406,0.812,0.775422375686958,0.8438200358650336,6.918191760748625,15.256451606750488,338.892,48.97368833886899
