requested_model_name,dataset_name,strategy,n,accuracy,ci_low,ci_high
gemma_4_26b_a4b,math_l1_l3,zero_shot,238,0.6932773109243697,0.6320084248855415,0.7484060848872041
gemma_4_e2b,math_l1_l3,zero_shot,238,0.6176470588235294,0.5545027847106978,0.677053873411843
gemma_4_e4b,math_l1_l3,zero_shot,238,0.6302521008403361,0.5673074889437856,0.689058811120456
phi_4_mini_reasoning,math_l1_l3,zero_shot,238,0.25210084033613445,0.20117133245458244,0.31090570935863504
phi_4_reasoning,math_l1_l3,zero_shot,238,0.037815126050420166,0.020020023218669913,0.07029310558563406
qwen3_30b_a3b,math_l1_l3,zero_shot,238,0.6008403361344538,0.53749641404586,0.6609807214877463
qwen3_8b,math_l1_l3,zero_shot,238,0.20588235294117646,0.15937986067902113,0.2617284940146268
gemma_4_26b_a4b,truthfulqa_mc1,cot,500,0.75,0.7102363265170449,0.785951503252179
gemma_4_e2b,truthfulqa_mc1,cot,500,0.562,0.5182029258694332,0.6048516559133346
gemma_4_e4b,truthfulqa_mc1,cot,500,0.628,0.5848089173303663,0.6692392515114762
phi_4_mini_reasoning,truthfulqa_mc1,cot,500,0.984,0.9687488914666058,0.9918707469666117
phi_4_reasoning,truthfulqa_mc1,cot,500,0.994,0.9825097478959467,0.9979574037280398
qwen3_30b_a3b,truthfulqa_mc1,cot,500,0.984,0.9687488914666058,0.9918707469666117
qwen3_8b,truthfulqa_mc1,cot,500,0.99,0.9768069002442693,0.9957212461034096
gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,500,0.82,0.7839253300173655,0.851195092087241
gemma_4_e2b,truthfulqa_mc1,few_shot_cot,500,0.518,0.4742321113679192,0.561493412375465
gemma_4_e4b,truthfulqa_mc1,few_shot_cot,500,0.742,0.7019060194394218,0.7784037997771869
phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,500,0.966,0.9462286344983655,0.9786654801914678
phi_4_reasoning,truthfulqa_mc1,few_shot_cot,500,1.0,0.9923756595384479,1.0
qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,500,0.982,0.9661483290912607,0.990501806703803
qwen3_8b,truthfulqa_mc1,few_shot_cot,500,0.986,0.9713869308622147,0.9932022102091564
gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,500,0.792,0.7542636968800828,0.8252836882903708
gemma_4_e2b,truthfulqa_mc1,zero_shot,500,0.546,0.502174287351395,0.5891242733261424
gemma_4_e4b,truthfulqa_mc1,zero_shot,500,0.732,0.6915162794621877,0.768946026563652
phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,500,0.954,0.9319222072317267,0.9691548916291838
phi_4_reasoning,truthfulqa_mc1,zero_shot,500,0.996,0.9855342847848231,0.9989023694773173
qwen3_30b_a3b,truthfulqa_mc1,zero_shot,500,0.99,0.9768069002442693,0.9957212461034096
qwen3_8b,truthfulqa_mc1,zero_shot,500,0.962,0.9414152274693561,0.9755398819441696
