scheme,requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
equal_weights,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7643193277310925,3.7584454115647663,14.89453125,
arc_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.802455462184874,3.7584454115647663,14.89453125,
gsm8k_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.758655462184874,3.7584454115647663,14.89453125,
math_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7452386554621849,3.7584454115647663,14.89453125,
truthfulqa_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.745655462184874,3.7584454115647663,14.89453125,
no_truthfulqa_renorm,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7555368814192343,3.7584454115647663,14.89453125,
paper_original,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7522756302521009,4.453897157965588,14.89453125,
equal_weights,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7600630252100841,4.453897157965588,14.89453125,
arc_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.8066504201680672,4.453897157965588,14.89453125,
gsm8k_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7664504201680673,4.453897157965588,14.89453125,
math_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7239260504201681,4.453897157965588,14.89453125,
truthfulqa_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7370504201680672,4.453897157965588,14.89453125,
no_truthfulqa_renorm,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7545284780578898,4.453897157965588,14.89453125,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.28680672268907564,8.145569373696933,7.145148277282715,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.40867226890756303,8.145569373696933,7.145148277282715,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.30293781512605045,8.145569373696933,7.145148277282715,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.2825378151260504,8.145569373696933,7.145148277282715,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.29534453781512604,8.145569373696933,7.145148277282715,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.5973378151260504,8.145569373696933,7.145148277282715,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.20934080298786178,8.145569373696933,7.145148277282715,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3942268907563026,8.163680110946924,7.145148277282715,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.4856890756302521,8.163680110946924,7.145148277282715,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3729512605042017,8.163680110946924,7.145148277282715,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3867512605042017,8.163680110946924,7.145148277282715,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.4091781512605042,8.163680110946924,7.145148277282715,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.6513512605042017,8.163680110946924,7.145148277282715,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.33069654528478054,8.163680110946924,7.145148277282715,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.28063025210084036,8.052558515694056,7.145148277282715,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.4010252100840336,8.052558515694056,7.145148277282715,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.2998201680672269,8.052558515694056,7.145148277282715,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.2704201680672269,8.052558515694056,7.145148277282715,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.3010504201680672,8.052558515694056,7.145148277282715,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.5822201680672269,8.052558515694056,7.145148277282715,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.20581139122315592,8.052558515694056,7.145148277282715,
paper_original,phi_4_reasoning,phi_4_reasoning,cot,0.16478151260504204,9.650211654463547,27.305460929870605,
equal_weights,phi_4_reasoning,phi_4_reasoning,cot,0.3236512605042017,9.650211654463547,27.305460929870605,
arc_heavy,phi_4_reasoning,phi_4_reasoning,cot,0.23992100840336136,9.650211654463547,27.305460929870605,
gsm8k_heavy,phi_4_reasoning,phi_4_reasoning,cot,0.16552100840336137,9.650211654463547,27.305460929870605,
math_heavy,phi_4_reasoning,phi_4_reasoning,cot,0.16330252100840337,9.650211654463547,27.305460929870605,
truthfulqa_heavy,phi_4_reasoning,phi_4_reasoning,cot,0.5303210084033614,9.650211654463547,27.305460929870605,
no_truthfulqa_renorm,phi_4_reasoning,phi_4_reasoning,cot,0.07264612511671335,9.650211654463547,27.305460929870605,
paper_original,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.1652235294117647,9.687963666171008,27.305460929870605,
equal_weights,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.32335294117647057,9.687963666171008,27.305460929870605,
arc_heavy,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.23248235294117647,9.687963666171008,27.305460929870605,
gsm8k_heavy,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.16408235294117648,9.687963666171008,27.305460929870605,
math_heavy,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.16750588235294117,9.687963666171008,27.305460929870605,
truthfulqa_heavy,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.5340823529411765,9.687963666171008,27.305460929870605,
no_truthfulqa_renorm,phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.0724705882352941,9.687963666171008,27.305460929870605,
paper_original,phi_4_reasoning,phi_4_reasoning,zero_shot,0.17854453781512608,9.625770248251754,27.305460929870605,
equal_weights,phi_4_reasoning,phi_4_reasoning,zero_shot,0.334953781512605,9.625770248251754,27.305460929870605,
arc_heavy,phi_4_reasoning,phi_4_reasoning,zero_shot,0.25056302521008406,9.625770248251754,27.305460929870605,
gsm8k_heavy,phi_4_reasoning,phi_4_reasoning,zero_shot,0.17796302521008406,9.625770248251754,27.305460929870605,
math_heavy,phi_4_reasoning,phi_4_reasoning,zero_shot,0.1797075630252101,9.625770248251754,27.305460929870605,
truthfulqa_heavy,phi_4_reasoning,phi_4_reasoning,zero_shot,0.5393630252100841,9.625770248251754,27.305460929870605,
no_truthfulqa_renorm,phi_4_reasoning,phi_4_reasoning,zero_shot,0.08771615312791783,9.625770248251754,27.305460929870605,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6389680672268907,14.856377239508177,57.67302322387695,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6658067226890756,14.856377239508177,57.67302322387695,
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.5458453781512604,14.856377239508177,57.67302322387695,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6562453781512605,14.856377239508177,57.67302322387695,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6044134453781512,14.856377239508177,57.67302322387695,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.7906453781512605,14.856377239508177,57.67302322387695,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6006311858076563,14.856377239508177,57.67302322387695,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6782941176470588,13.86488393321012,57.67155838012695,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.7029117647058823,13.86488393321012,57.67155838012695,
