requested_model_name,dataset_name,strategy,mean_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb
phi_4_reasoning,math_l1_l3,zero_shot,19.005133058625358,1002.8781512605042,52.768386421299034,27.305460929870605
qwen3_30b_a3b,math_l1_l3,zero_shot,25.112808774718467,676.7983193277311,26.92929372376217,57.67229080200195
qwen3_8b,math_l1_l3,zero_shot,13.360658148804507,654.2352941176471,48.948506774439934,15.256451606750488
gemma_4_26b_a4b,truthfulqa_mc1,cot,2.5046011863797903,54.182,18.870482076376955,48.06737232208252
gemma_4_e2b,truthfulqa_mc1,cot,1.2242190560102464,38.96,31.450878878092496,9.543148517608644
gemma_4_e4b,truthfulqa_mc1,cot,2.8262801883667708,74.708,25.94730840919183,14.89453125
phi_4_mini_reasoning,truthfulqa_mc1,cot,4.084058973908425,256.0,62.68554959848986,7.145148277282715
phi_4_reasoning,truthfulqa_mc1,cot,4.91040402457118,253.74,51.67428936279749,27.305460929870605
qwen3_30b_a3b,truthfulqa_mc1,cot,9.600792984858156,252.71,26.321586179843102,57.67229080200195
qwen3_8b,truthfulqa_mc1,cot,5.192242706246674,254.372,48.993379452318756,15.256451606750488
gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,1.7315471309050918,36.568,16.621967072621214,48.06737232208252
gemma_4_e2b,truthfulqa_mc1,few_shot_cot,5.888101593762636,186.72,31.61782213005699,9.543148517608644
gemma_4_e4b,truthfulqa_mc1,few_shot_cot,0.3069331584647298,7.88,25.449295105015402,14.89453125
phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,4.127920882053673,256.0,62.01893583815983,7.145148277282715
phi_4_reasoning,truthfulqa_mc1,few_shot_cot,4.800454337641597,256.0,53.32986120611841,27.305460929870605
qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,9.671142636790872,250.386,25.88830938574906,57.67229080200195
qwen3_8b,truthfulqa_mc1,few_shot_cot,5.15284157294035,251.642,48.83752400322034,15.256451606750488
gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,2.5280022158771756,54.142,18.693308969717535,48.06737232208252
gemma_4_e2b,truthfulqa_mc1,zero_shot,2.594820292390883,82.096,31.340448528137674,9.543148517608644
gemma_4_e4b,truthfulqa_mc1,zero_shot,0.5445996072366833,14.042,25.3602409844913,14.89453125
phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,4.1001399597749115,256.0,62.439401038391225,7.145148277282715
phi_4_reasoning,truthfulqa_mc1,zero_shot,4.883699329771101,253.214,51.849049798378005,27.305460929870605
qwen3_30b_a3b,truthfulqa_mc1,zero_shot,9.673706889376044,251.308,25.97621929174377,57.67131423950195
qwen3_8b,truthfulqa_mc1,zero_shot,4.665694271959365,228.88,48.95232279650973,15.256451606750488
