requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.783583193277311,7.087543092488585,48.06737232208252,
gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7541831932773111,3.793645703079899,14.894491195678713,
gemma_4_e4b,gemma_4_e4b,cot,0.7524201680672269,4.840486979678868,14.894491195678713,
gemma_4_e4b,gemma_4_e4b,zero_shot,0.7522756302521009,4.386367710199457,14.894491195678713,
gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7410571428571429,8.401336378069876,48.06737232208252,
qwen3_8b,qwen3_8b,few_shot_cot,0.7203781512605043,7.272222863125857,15.256451606750488,
gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7094285714285714,10.403567567500543,48.06737232208252,
gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6917226890756302,5.9175911750894725,9.543148517608644,
qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6782941176470589,14.090466079096224,57.62053298950195,
gemma_4_e2b,gemma_4_e2b,zero_shot,0.6618941176470589,5.197454099977937,9.543148517608644,
qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6568521008403361,14.706398877584853,57.62053298950195,
gemma_4_e2b,gemma_4_e2b,cot,0.6457495798319328,4.4804135230638,9.543148517608644,
qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6389680672268908,15.025042094450225,57.62053298950195,
qwen3_8b,qwen3_8b,zero_shot,0.546764705882353,7.524197788761084,15.256451606750488,
qwen3_8b,qwen3_8b,cot,0.5461697478991597,7.96566062910836,15.256451606750488,
phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3942268907563026,8.152990486092522,7.145148277282715,
phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.28680672268907564,8.163670218877916,7.145148277282715,
phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.28063025210084036,8.190883137218169,7.145148277282715,
