dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
arc_challenge,few_shot_cot,phi_4_reasoning,qwen3_8b,500,0.246,0.508,135,4,121.58273381294964,4.402176408278431e-35
arc_challenge,few_shot_cot,qwen3_30b_a3b,qwen3_8b,500,0.45,0.508,70,41,7.063063063063063,0.007584811775431653
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,500,0.922,0.762,15,95,56.736363636363635,2.1416081364290228e-15
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,500,0.922,0.906,23,31,0.9074074074074074,0.34089094122009733
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.922,0.248,8,345,319.8186968838527,6.159597654476392e-91
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,500,0.922,0.274,9,333,305.05555555555554,3.63890037305439e-86
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.922,0.384,12,281,245.1331058020478,8.729602285495782e-68
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_8b,500,0.922,0.404,12,271,235.20848056537102,5.854271529502592e-65
arc_challenge,zero_shot,gemma_4_e2b,gemma_4_e4b,500,0.762,0.906,84,12,52.510416666666664,1.8316192854098385e-14
arc_challenge,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,500,0.762,0.248,31,288,205.44200626959247,2.3428596092897585e-53
arc_challenge,zero_shot,gemma_4_e2b,phi_4_reasoning,500,0.762,0.274,38,282,184.528125,3.290133972694121e-47
arc_challenge,zero_shot,gemma_4_e2b,qwen3_30b_a3b,500,0.762,0.384,43,232,128.52363636363637,1.6223732452578276e-32
arc_challenge,zero_shot,gemma_4_e2b,qwen3_8b,500,0.762,0.404,54,233,110.397212543554,1.1659613512010234e-27
arc_challenge,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,500,0.906,0.248,12,341,304.77053824362605,7.307489575296866e-85
arc_challenge,zero_shot,gemma_4_e4b,phi_4_reasoning,500,0.906,0.274,13,329,290.13157894736844,2.5938719445525445e-80
arc_challenge,zero_shot,gemma_4_e4b,qwen3_30b_a3b,500,0.906,0.384,15,276,232.3024054982818,2.558011166513899e-63
arc_challenge,zero_shot,gemma_4_e4b,qwen3_8b,500,0.906,0.404,18,269,217.77003484320556,1.362732479584583e-58
arc_challenge,zero_shot,phi_4_mini_reasoning,phi_4_reasoning,500,0.248,0.274,22,9,4.645161290322581,0.029449373483657837
arc_challenge,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.248,0.384,78,10,51.01136363636363,3.33213360770301e-14
arc_challenge,zero_shot,phi_4_mini_reasoning,qwen3_8b,500,0.248,0.404,86,8,63.07446808510638,1.236158694645569e-17
arc_challenge,zero_shot,phi_4_reasoning,qwen3_30b_a3b,500,0.274,0.384,71,16,33.51724137931034,1.9569930350880073e-09
arc_challenge,zero_shot,phi_4_reasoning,qwen3_8b,500,0.274,0.404,76,11,47.08045977011494,4.2113505095150765e-13
arc_challenge,zero_shot,qwen3_30b_a3b,qwen3_8b,500,0.384,0.404,53,43,0.84375,0.3583976321916262
gsm8k,cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.754,0.656,34,83,19.692307692307693,6.775655653746717e-06
gsm8k,cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.754,0.784,59,44,1.9029126213592233,0.1674443344120587
gsm8k,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.754,0.18,13,300,261.3290734824281,4.323588234421424e-72
gsm8k,cot,gemma_4_26b_a4b,phi_4_reasoning,500,0.754,0.02,4,371,357.216,2.1301357622262454e-104
gsm8k,cot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.754,0.74,70,77,0.24489795918367346,0.6208422313416992
