source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,std_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb,flops_per_token
revision_full500_v1__qwen3_8b__gsm8k__cot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,cot,500,388,0.776,0.7374303353251315,0.8103610287400917,7.323206478215754,2.2540974209484492,353.444,48.25939770852316,15.256451606750488,
revision_full500_v1__gemma_4_26b_a4b__gsm8k__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,cot,500,377,0.754,0.7144078267312022,0.7897190083143293,11.493819644458592,6.828301926927396,256.962,22.274963728474294,48.06737232208252,
revision_full500_v1__qwen3_30b_a3b__gsm8k__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,cot,500,370,0.74,0.6998260397638378,0.7765142768146172,14.419838018402457,3.6757038557813075,378.484,26.23397531232469,57.62053298950195,
revision_full500_v1__gemma_4_e2b__gsm8k__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,cot,500,328,0.656,0.6133141713377337,0.696307034438262,5.311477531455457,2.6830372253333348,168.078,31.669775378147175,9.543148517608644,
revision_full500_v1__phi_4_mini_reasoning__gsm8k__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,cot,500,90,0.18,0.148804907912759,0.21607466998263444,8.232739288531244,0.059973305718783274,512.0,62.194001481095825,7.145148277282715,
revision_full500_v1__phi_4_reasoning__gsm8k__cot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,cot,500,10,0.02,0.010899183596210813,0.036420183246879345,9.949932211115957,0.16599886417978676,511.828,51.451763898621124,27.305460929870605,
revision_full500_v1__qwen3_8b__gsm8k__few_shot_cot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,few_shot_cot,500,406,0.812,0.775422375686958,0.8438200358650336,7.124161543749273,2.3349926787593986,338.892,47.543184875639604,15.256451606750488,
revision_full500_v1__qwen3_30b_a3b__gsm8k__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,few_shot_cot,500,381,0.762,0.7227638647789387,0.797240980819208,14.097232729785144,3.925415816332436,369.986,26.21778256460336,57.62053298950195,
revision_full500_v1__gemma_4_e4b__gsm8k__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,few_shot_cot,500,369,0.738,0.6977470833575388,0.7746237305827623,5.7519922950267794,4.867627720918885,149.1,26.114951736465663,14.894491195678713,
revision_full500_v1__gemma_4_e2b__gsm8k__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,few_shot_cot,500,359,0.718,0.6770122207860065,0.7556635667727567,4.648913710661232,2.4305365581700746,150.102,32.35858460305982,9.543148517608644,
revision_full500_v1__gemma_4_26b_a4b__gsm8k__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,few_shot_cot,500,342,0.684,0.641977870830057,0.7232163718800919,14.05892465725541,8.827650937800362,315.178,22.275907487439877,48.06737232208252,
revision_full500_v1__phi_4_mini_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,few_shot_cot,500,158,0.316,0.27678362811990814,0.3580221291699432,8.054049097001553,0.040448220615119594,512.0,63.57207970515612,7.145148277282715,
revision_full500_v1__phi_4_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,few_shot_cot,500,9,0.018,0.009498193296197078,0.033851670908739286,10.053381516061723,0.14866966218208505,512.0,50.9393215259884,27.305460929870605,
revision_full500_v1__gemma_4_26b_a4b__gsm8k__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,zero_shot,500,390,0.78,0.7416313019131544,0.8140990674283763,8.495225798912346,7.329273424398433,186.734,21.82341249186386,48.06737232208252,
revision_full500_v1__gemma_4_e4b__gsm8k__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,zero_shot,500,386,0.772,0.7332341279039163,0.8066182308849994,4.980632959529758,2.674968716317549,130.956,26.307293237609926,14.894491195678713,
revision_full500_v1__qwen3_8b__gsm8k__zero_shot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,zero_shot,500,385,0.77,0.7311377813252322,0.8047450748255296,6.826473877876997,2.3193503919641216,337.836,49.48707211245871,15.256451606750488,
revision_full500_v1__qwen3_30b_a3b__gsm8k__zero_shot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,zero_shot,500,376,0.752,0.7123215407533253,0.7878357916540525,14.101579005330802,3.7934550036607746,371.848,26.350738459931563,57.62053298950195,
revision_full500_v1__gemma_4_e2b__gsm8k__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,zero_shot,500,337,0.674,0.6317220455546273,0.7136246839647526,4.682444722607732,2.1179566518852733,150.874,32.23104529396107,9.543148517608644,
