source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec,prev_n,prev_accuracy,prev_mean_output_tokens,prev_mean_tokens_per_sec,accuracy_delta_vs_full500,output_tokens_delta_vs_full500
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,cot,238,159,0.6680672268907563,0.6059879927587606,0.7248072331305833,12.872285078005756,14.89453125,330.06722689075633,26.05392672471062,238,0.6680672268907563,278.38655462184875,26.54301645191937,0.0,51.680672268907585
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,cot,238,87,0.36554621848739494,0.3069492152422019,0.42841460404632276,33.292735447183624,7.145148277282715,2048.0,61.51693051309392,238,0.22268907563025211,1024.0,63.00766828405308,0.14285714285714282,1024.0
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,cot,238,160,0.6722689075630253,0.6103113609924905,0.7287537455440872,33.05443593034787,57.67326736450195,870.6638655462185,26.290530751708516,238,0.5672268907563025,693.2689075630252,26.544199326382753,0.10504201680672276,177.3949579831933
journal_protocolfix_v1__gemma_4_e2b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,few_shot_cot,238,164,0.6890756302521008,0.6276581309844386,0.7444864981410734,9.883751206053029,9.543148517608644,304.46638655462186,31.158662068068555,238,0.6890756302521008,283.109243697479,32.32758133155149,0.0,21.35714285714289
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,few_shot_cot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,10.07933903374404,14.89453125,250.42857142857142,25.205786354863708,238,0.6932773109243697,216.00840336134453,26.141265841024524,0.0,34.42016806722688
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__few_shot_cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,128,0.5378151260504201,0.4743758013359928,0.6000531244891095,33.047842170244884,7.145148277282715,2048.0,61.97136386453511,238,0.3907563025210084,1024.0,62.55478482117843,0.14705882352941174,1024.0
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__few_shot_cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,168,0.7058823529411765,0.6450929215154535,0.7601312301989929,27.426189979178314,57.66740798950195,716.6428571428571,26.066749495375074,238,0.6176470588235294,605.9873949579832,26.86684924010914,0.08823529411764708,110.65546218487395
journal_protocolfix_v1__gemma_4_26b_a4b__math_l1_l3__zero_shot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,zero_shot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,17.043574654911996,48.06737232208252,374.5126050420168,22.082290146859865,238,0.6932773109243697,310.2647058823529,22.094876463550225,0.0,64.24789915966386
journal_protocolfix_v1__gemma_4_e2b__math_l1_l3__zero_shot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,zero_shot,238,150,0.6302521008403361,0.5673074889437856,0.689058811120456,15.0300625954919,9.543148517608644,467.07142857142856,31.486242902222497,238,0.6176470588235294,372.87394957983196,32.32108005617292,0.012605042016806678,94.1974789915966
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__zero_shot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,zero_shot,238,152,0.6386554621848739,0.5758681951921751,0.6970378661665335,15.902926213209744,14.89453125,403.5882352941176,25.873041230965903,238,0.6302521008403361,307.96638655462186,25.732781309157772,0.008403361344537785,95.62184873949576
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__zero_shot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,zero_shot,238,92,0.3865546218487395,0.3269573397667012,0.44975588275799155,33.914476363880546,7.145148277282715,2048.0,60.39409453286607,238,0.25210084033613445,1024.0,63.9651273212283,0.13445378151260506,1024.0
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__zero_shot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,zero_shot,238,162,0.680672268907563,0.6189739790804714,0.7366308887505735,34.45940302512726,57.67229080200195,842.0168067226891,24.40246602138095,238,0.6008403361344538,676.7983193277311,26.92929372376217,0.0798319327731093,165.21848739495806
