requested_model_name,dataset_name,strategy,mean_latency_sec,mean_output_tokens,mean_tokens_per_sec
gemma_4_26b_a4b,arc_challenge,cot,3.131732457935685,,17.386525509345464
gemma_4_e2b,arc_challenge,cot,0.44971063460747734,,31.489660896104066
gemma_4_e4b,arc_challenge,cot,0.496029409102532,,25.14800234448395
phi_4_mini_reasoning,arc_challenge,cot,4.1186676108035725,,62.16149275264714
phi_4_reasoning,arc_challenge,cot,4.830166991064403,,52.96752115929976
qwen3_30b_a3b,arc_challenge,cot,10.3071393803889,,24.21326818903646
qwen3_8b,arc_challenge,cot,5.19295537451423,,48.76930261250563
gemma_4_26b_a4b,arc_challenge,few_shot_cot,2.7651851672616576,,17.876004310663284
gemma_4_e2b,arc_challenge,few_shot_cot,4.484728385138662,,31.74358459926082
gemma_4_e4b,arc_challenge,few_shot_cot,0.8305181706746837,,25.53700860772828
phi_4_mini_reasoning,arc_challenge,few_shot_cot,4.087910170267735,,62.62786060161341
phi_4_reasoning,arc_challenge,few_shot_cot,4.854267436854479,,52.739508419558796
qwen3_30b_a3b,arc_challenge,few_shot_cot,9.651280712414565,,25.165413409939404
qwen3_8b,arc_challenge,few_shot_cot,4.888625083256419,,48.936596677462326
gemma_4_26b_a4b,arc_challenge,zero_shot,3.433008142160017,,19.95087110456166
gemma_4_e2b,arc_challenge,zero_shot,1.378750864259836,,31.129819588335668
gemma_4_e4b,arc_challenge,zero_shot,0.15401496187228114,,25.383512818963897
phi_4_mini_reasoning,arc_challenge,zero_shot,4.0890406780571,,62.61177303815765
phi_4_reasoning,arc_challenge,zero_shot,4.853044421482487,,52.09277287763247
qwen3_30b_a3b,arc_challenge,zero_shot,9.604590953914684,,25.978874151916383
qwen3_8b,arc_challenge,zero_shot,4.896809507349209,,47.48313737726241
gemma_4_26b_a4b,gsm8k,cot,11.616669082951521,,21.807476266449683
gemma_4_e2b,gsm8k,cot,5.015051602127672,,31.93651093254118
gemma_4_e4b,gsm8k,cot,5.076014881969249,,25.71001305853882
phi_4_mini_reasoning,gsm8k,cot,8.43264565148837,,60.718816844188254
phi_4_reasoning,gsm8k,cot,9.810218752510533,,52.19171084936697
qwen3_30b_a3b,gsm8k,cot,14.414511300169496,,25.7155952749119
qwen3_8b,gsm8k,cot,6.8713942611073495,,50.0614454690042
gemma_4_26b_a4b,gsm8k,few_shot_cot,14.346437550877699,,21.867238099054873
gemma_4_e2b,gsm8k,few_shot_cot,4.514768600463867,,31.675070115662148
gemma_4_e4b,gsm8k,few_shot_cot,5.405440916909891,,26.24558515491535
phi_4_mini_reasoning,gsm8k,few_shot_cot,8.152925608069205,,62.80218819220943
